TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,94952,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.1,30624,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.4,158312,No,1000,256,0,0
Notebook,15.6,1366x768,Intel Pentium,4,Windows 10,2.1,31989,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.56,93323,No,1000,128,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,3,75152,No,0,256,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,66352,No,500,0,0,0
Ultrabook,13.0,2160x1440,Intel i5,8,Windows 10,1.05,118712,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i5,6,Windows 10,2.71,61512,No,2000,0,0,0
Notebook,15.6,1366x768,AMD A6,4,No OS,2.2,27192,No,500,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2,43032,No,500,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,81224,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.3,40392,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,39512,No,0,128,0,0
Gaming,18.4,1920x1080,Intel i7,32,Windows 10,4.4,246312,No,1000,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.90,71544,No,1000,128,0,0
2 in 1 Convertible,13.3,3840x2160,Intel i5,8,Windows 10,1.29,131912,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.02,92312,No,2000,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.23,123112,No,0,256,0,0
2 in 1 Convertible,13.9,3840x2160,Intel i7,16,Windows 10,1.4,162712,Yes,0,512,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.0,69784,No,0,128,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.95,105512,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.77,136312,Yes,0,512,0,0
Notebook,15.6,3840x2160,Intel i7,16,Windows 10,2.06,210936,Yes,0,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,No OS,2.4,68552,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.12,87032,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,95480,No,1000,128,0,0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.42,248512,Yes,0,1000,0,0
Notebook,14.0,1920x1080,Intel Celeron,4,Windows 10,1.3,22880,No,0,0,0,32
Ultrabook,13.3,1920x1080,Intel i5,8,No OS,1.3,87991,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,61424,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.62,73832,Yes,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,80432,No,1000,0,0,0
Gaming,17.3,3840x2160,Intel i7,32,Windows 10,3.49,536712,Yes,0,1000,0,0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.49,84392,No,0,512,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.35,121352,No,1000,256,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,91960,No,0,256,0,0
Gaming,15.6,3840x2160,Intel i7,16,Windows 10,2.65,162360,No,1000,512,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,43384,No,0,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.23,65296,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,153912,No,1000,512,0,0
Workstation,15.6,3840x2160,Intel Xeon,16,Windows 10,2.8,268840,No,1000,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,No OS,2.4,123024,No,0,512,0,0
Notebook,15.6,1366x768,Intel i3,6,Windows 10,2.3,38632,Yes,1000,0,0,0
Ultrabook,13.3,3840x2160,Intel i7,8,Windows 10,1.21,171512,Yes,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,127512,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.2,52536,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.4,68552,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,123816,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.1,30712,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,48312,No,0,256,0,0
Ultrabook,13.0,2160x1440,Intel i7,8,Windows 10,1.05,131912,No,0,512,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,82005,No,0,256,0,0
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,51832,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,90728,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,101112,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,16,Windows 10,1.62,112552,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,59607,No,0,256,0,0
2 in 1 Convertible,14.0,1920x1080,Intel i5,8,Windows 10,1.74,79112,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,119944,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,69872,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.42,216158,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,73216,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.3,75593,Yes,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2,67672,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.69,78408,No,500,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.9,111672,No,1000,0,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.37,35111,No,1000,0,0,0
Notebook,15.6,1366x768,AMD E,4,Windows 10,2.1,29040,No,500,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,131912,No,1000,256,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,75592,No,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.6,60632,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.36,79112,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,34320,No,1000,0,0,0
Notebook,15.6,1920x1080,AMD A10,4,Windows 10,2.2,50600,No,1000,128,0,0
Gaming,17.3,1920x1080,Intel i7,32,Windows 10,4.7,342320,No,1000,512,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,74448,No,0,256,0,0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.2,51832,No,0,128,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.1,100760,No,1000,128,0,0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.69,78232,No,1000,128,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.56,77352,No,0,256,0,0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.38,94952,Yes,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,86680,No,2000,128,0,0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.04,49192,Yes,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.6,263912,No,0,256,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,59400,No,500,0,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,179520,No,0,512,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.08,72072,Yes,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.3,158312,No,1000,256,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,1.68,41272,No,1000,0,0,0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.37,162712,Yes,0,512,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3,61776,No,0,256,0,0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.41,83512,No,0,256,0,0
Notebook,15.6,1366x768,AMD A6,8,Windows 10,1.91,39239,No,0,128,0,0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.9,93192,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.14,219912,No,1000,512,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2,149512,Yes,0,512,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,100496,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.2,39072,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.1,63536,No,500,0,0,0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.18,57816,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.24,49720,No,1000,0,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i5,8,Windows 10,2.67,70312,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.1,131912,Yes,0,1000,0,0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,41096,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,89584,No,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.05,77440,No,0,256,0,0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,172383,No,0,512,0,0
Gaming,17.3,1920x1080,AMD Ryzen,16,Windows 10,3.2,136312,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.14,64686,No,0,256,0,0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.36,219912,Yes,0,512,0,0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.2,71456,No,500,0,0,0
Notebook,15.6,1366x768,Intel i7,12,Windows 10,2.3,62750,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,Linux,2.8,96712,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,65560,No,1000,0,0,0
Notebook,17.3,1600x900,Intel i3,4,Windows 10,2.8,43032,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.8,74712,No,2000,0,0,0
Notebook,17.3,1600x900,Intel i7,6,Windows 10,2.8,75592,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.25,37664,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,72952,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,2.2,50952,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,3,83688,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i7,12,Windows 10,2.15,57992,Yes,1000,0,0,0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.95,96536,No,0,256,0,0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.7,85976,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,103752,No,1000,256,0,0
Notebook,15.6,1920x1080,Intel i7,8,No OS,2.2,57993,No,1000,0,0,0
Notebook,15.6,1366x768,Intel Celeron,2,Chrome OS,2.19,17512,No,0,16,0,0
